symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv,*,delta,vega,gamma,theta,rho
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00300000,03/31/17,300,C,E,2073.9,2062.9,2068.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.008219
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00300000,03/31/17,300,P,E,0.1,0,0,0.281087,0,0,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00400000,03/31/17,400,C,E,1974.1,1962.7,1968.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.010959
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00400000,03/31/17,400,P,E,0.05,0,0,0.281087,0,10,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00500000,03/31/17,500,C,E,1874.1,1862.7,1868.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.013698
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00500000,03/31/17,500,P,E,0.05,0,0,0.281087,0,0,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00600000,03/31/17,600,C,E,1774.1,1762.7,1768.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.016438
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00600000,03/31/17,600,P,E,0.05,0,0,0.281087,0,132,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00700000,03/31/17,700,C,E,1673.9,1662.9,1668.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.019178
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00700000,03/31/17,700,P,E,0.05,0,0,0.281087,0,300,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00750000,03/31/17,750,C,E,1624.1,1612.7,1618.4,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.020547
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00750000,03/31/17,750,P,E,0.05,0,0,0.281087,0,2,2368.927,*,0,0,0,0,0
